appid,price_usd,required_age,n_supported_languages,n_achievements,n_screenshots_api,n_movies,n_dlc,description_len_chars,description_len_words,n_tags,is_free,supports_windows,supports_mac,supports_linux,release_year,release_month,release_quarter,release_dow,genre_action,genre_adventure,genre_indie,genre_rpg,genre_strategy,genre_simulation,genre_free_to_play,genre_casual,genre_massively_multiplayer,genre_sports,genre_early_access,genre_racing,cat_single_player,cat_family_sharing,cat_steam_achievements,cat_multi_player,cat_steam_trading_cards,cat_steam_cloud,cat_full_controller_support,cat_co_op,cat_pvp,cat_online_pvp,cat_online_co_op,cat_remote_play_on_tablet,cat_remote_play_on_tv,cat_partial_controller_support,cat_steam_workshop,tag_singleplayer,tag_action,tag_multiplayer,tag_adventure,tag_co_op,tag_atmospheric,tag_open_world,tag_first_person,tag_shooter,tag_rpg,tag_story_rich,tag_great_soundtrack,tag_indie,tag_online_co_op,tag_strategy,tag_third_person,tag_fps,tag_simulation,tag_sandbox,tag_survival,tag_funny,tag_sci_fi,tag_pvp,tag_fantasy,tag_gore,tag_free_to_play,tag_casual,tag_difficult,tag_character_customization,tag_exploration,umap_x,umap_y,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
1063730,59.99,0,8,133,5,1,0,2835,445,20.0,0,1,0,0,2021.0,9.0,3.0,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,12.773204,2.678937,0.0076939841518276,0.0076941042969612,0.0076944680987676,0.0076933302599634,0.1608962022690728,0.7775513136578779,0.0076933907037764,0.0076955313997635,0.0076940245663881,1,0,0,0,0,0
24980,0.0,17,9,0,14,2,0,2426,371,20.0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13.5406685,1.8500118,0.9357008122182036,0.0071447331893944,0.0071449914052632,0.0071449212800678,0.0071433446068348,0.0071444922846391,0.0071437140577551,0.0071439239877671,0.0071442932133108,1,0,0,0,0,0
530700,0.0,0,11,0,10,4,0,2446,417,20.0,0,1,0,0,2017.0,6.0,2.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,11.170357,5.1527576,0.0047632214437956,0.0047631940376466,0.0047626708497031,0.0047628369268901,0.0047632350326727,0.0047628274782396,0.9571303613986956,0.0047651008602202,0.0047632061100171,0,0,1,0,0,0
251570,44.99,0,14,43,10,2,9,3172,509,20.0,0,1,1,1,2024.0,7.0,3.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,8.88022,4.9977746,0.0045468387803911,0.0045466482779341,0.126048481989014,0.0045463077020538,0.0045468412825777,0.6225214520329072,0.0045464902192233,0.2196044405537378,0.0045461717732523,0,0,0,0,0,1
1113000,19.99,17,9,50,15,2,0,897,143,20.0,0,1,0,0,2020.0,6.0,2.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.689816,1.6937054,0.0166691602512276,0.0166680253899891,0.0166695028547267,0.0166672010186746,0.0166746721682239,0.016668878819302,0.0166680073760409,0.0166674880882596,0.0166670330251055,1,0,0,0,0,0
113200,4.99,0,1,99,12,1,1,1027,166,20.0,0,1,1,0,2011.0,9.0,3.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5.6559334,1.8786161,0.0250018511456282,0.0250003998291113,0.0250015381013637,0.0250079337642581,0.0250077675696484,0.025004247598991,0.7749726628759308,0.0250034252230499,0.0250000017415339,0,1,0,0,0,0
211820,14.99,0,1,51,10,3,1,1879,310,20.0,0,1,1,1,2016.0,7.0,3.0,4.0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,8.797521,4.9727407,0.009091743484731,0.0090915944635581,0.0090919324048222,0.0090917900376207,0.0090918928752159,0.1805623706894119,0.0090921224215264,0.0090917969082763,0.0090929854170229,0,0,0,0,0,1
236850,49.99,0,4,373,10,2,33,3503,570,20.0,0,1,1,1,2013.0,8.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.409987,7.490969,0.0066674965261951,0.4730369271132192,0.0066672028720177,0.0066680975561028,0.0066679296313089,0.0066689306437975,0.4736202744428537,0.0066676388070186,0.0066672348215372,0,0,0,1,0,0
232050,19.99,0,7,56,10,4,1,898,154,16.0,0,1,0,0,2013.0,4.0,2.0,4.0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,14.345012,2.4394245,0.8874678196175555,0.0125025346157149,0.0125016493109761,0.0125047027327345,0.0125018897554033,0.0125057215901311,0.0125012414815745,0.0125026799674846,0.0125053189048241,0,0,0,1,0,0
761890,0.0,0,17,154,11,2,0,3473,555,20.0,1,1,1,1,2018.0,5.0,2.0,2.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,12.546509,2.7131155,0.0050013609567979,0.0050008735331074,0.0050006304313893,0.0050002946436398,0.9549907762725672,0.0050030289006383,0.005000726046444,0.005000868962772,0.0050010376978702,1,0,0,0,0,0
206420,19.99,17,8,73,6,1,0,1365,224,20.0,0,1,0,1,2013.0,8.0,3.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,9.6384945,-0.42952055,0.0066681449611386,0.9399897176665432,0.0066672957123493,0.0066675747722003,0.0066683257739934,0.0066687792668934,0.0066675325556616,0.0066674516204466,0.0066673723296843,0,0,0,0,1,0
